Date,Open,High,Low,Close,Adj Close,Volume
2005-06-06,75.800003,75.900002,74.919998,75.000000,49.403725,5978600
2005-06-07,75.000000,76.089996,75.000000,75.040001,49.430069,5226600
2005-06-08,75.040001,75.400002,74.629997,74.800003,49.271976,4280000
2005-06-09,74.580002,75.470001,74.230003,74.930000,49.357613,4423200
2005-06-10,74.750000,75.050003,74.099998,74.769997,49.252224,4895800
2005-06-13,74.500000,75.930000,74.449997,75.050003,49.436642,5715700
2005-06-14,75.050003,75.430000,74.730003,74.889999,49.331268,4314900
2005-06-15,75.699997,76.500000,75.150002,76.300003,50.260067,7103600
2005-06-16,76.400002,77.250000,76.309998,77.050003,50.754093,7840000
2005-06-17,77.699997,77.730003,76.379997,76.389999,50.319328,8593800
2005-06-20,76.029999,76.980003,75.570000,76.550003,50.424725,3745600
2005-06-21,76.699997,77.000000,76.110001,76.410004,50.332504,5339100
2005-06-22,76.830002,77.489998,76.669998,77.230003,50.872654,5646300
2005-06-23,76.809998,76.970001,75.059998,75.410004,49.673801,7766700
2005-06-24,75.169998,75.400002,74.000000,74.010002,48.751591,10792100
2005-06-27,74.010002,74.769997,73.500000,73.879997,48.665962,6489800
2005-06-28,73.830002,75.300003,73.449997,75.300003,49.601341,8188800
2005-06-29,75.260002,75.680000,74.620003,74.730003,49.225891,5519100
2005-06-30,74.800003,75.489998,74.070000,74.199997,48.876740,6127000
2005-07-01,74.300003,75.330002,74.300003,74.669998,49.186340,4353100
2005-07-05,74.379997,74.970001,74.160004,74.790001,49.265388,5181800
2005-07-06,74.800003,76.150002,74.400002,75.809998,49.937279,8009300
2005-07-07,75.150002,77.529999,75.000000,77.379997,50.971478,10757200
2005-07-08,77.379997,79.519997,77.139999,79.300003,52.236206,13440500
2005-07-11,79.400002,79.519997,78.519997,78.959999,52.012215,7186700
2005-07-12,79.199997,80.489998,79.180000,80.040001,52.723652,10945500
2005-07-13,81.160004,81.750000,81.160004,81.449997,53.652435,11340000
2005-07-14,82.000000,82.669998,82.000000,82.419998,54.291397,8546200
2005-07-15,82.430000,82.750000,81.519997,82.379997,54.265041,7644100
2005-07-18,81.989998,83.940002,81.680000,81.809998,53.889584,8705600
2005-07-19,84.720001,85.110001,83.699997,83.699997,55.134548,14149700
2005-07-20,83.199997,84.959999,82.989998,84.599998,55.727402,9323200
2005-07-21,84.599998,84.949997,83.400002,84.400002,55.595646,8265300
2005-07-22,83.980003,84.629997,83.860001,84.440002,55.622009,4570400
2005-07-25,83.980003,84.519997,83.919998,84.199997,55.463924,4457800
2005-07-26,84.150002,84.349998,83.849998,84.120003,55.411213,4542900
2005-07-27,83.800003,84.129997,82.809998,83.870003,55.246540,4862200
2005-07-28,83.550003,83.970001,83.269997,83.800003,55.200432,6189700
2005-07-29,83.300003,83.949997,83.220001,83.459999,54.976471,4330300
2005-08-01,83.000000,83.849998,82.849998,83.430000,54.956722,3664300
2005-08-02,83.269997,83.860001,83.040001,83.309998,54.877651,5380700
2005-08-03,83.309998,84.199997,83.110001,84.059998,55.371685,4256200
2005-08-04,83.750000,83.889999,82.980003,83.120003,54.752495,5249900
2005-08-05,82.750000,83.739998,82.730003,83.360001,54.910591,3714600
2005-08-08,83.410004,83.889999,83.019997,83.360001,55.042660,4424300
2005-08-09,83.400002,83.949997,82.940002,83.500000,55.135086,3793500
2005-08-10,83.650002,84.010002,81.970001,82.019997,54.157837,5402400
2005-08-11,81.930000,82.750000,81.620003,82.660004,54.580471,4570400
2005-08-12,82.150002,82.580002,82.059998,82.190002,54.270111,4378200
2005-08-15,81.900002,82.940002,81.610001,82.500000,54.474785,3431100
2005-08-16,82.070000,82.430000,81.089996,81.300003,53.682442,4407400
2005-08-17,81.400002,81.940002,80.839996,81.300003,53.682442,4853000
2005-08-18,81.099998,82.000000,80.800003,81.150002,53.583401,3713300
2005-08-19,81.360001,83.300003,81.360001,82.760002,54.646473,6481000
2005-08-22,82.750000,83.349998,81.849998,82.599998,54.540813,5157200
2005-08-23,82.699997,83.139999,81.599998,82.029999,54.164444,4000300
2005-08-24,81.529999,82.400002,81.230003,81.320000,53.695629,4417600
2005-08-25,81.449997,81.449997,80.720001,81.099998,53.550385,3606100
2005-08-26,80.809998,81.019997,80.260002,80.379997,53.074951,5029300
2005-08-29,80.000000,81.750000,79.900002,81.339996,53.708828,4025300
2005-08-30,81.000000,81.000000,79.980003,80.540001,53.180618,5674200
2005-08-31,80.349998,80.790001,79.870003,80.620003,53.233433,5400800
2005-09-01,80.160004,80.320000,79.339996,79.540001,52.520298,6390600
2005-09-02,79.500000,80.010002,79.459999,79.459999,52.467472,3680600
2005-09-06,79.699997,81.190002,79.699997,81.019997,53.497543,6305500
2005-09-07,80.699997,81.129997,80.320000,80.980003,53.471134,4116300
2005-09-08,81.279999,81.519997,80.500000,80.800003,53.352280,4277300
2005-09-09,80.860001,81.489998,80.519997,81.440002,53.774876,3982200
2005-09-12,81.029999,82.110001,81.000000,81.480003,53.801289,3692800
2005-09-13,81.489998,81.489998,80.519997,80.750000,53.319283,5040900
2005-09-14,80.750000,81.400002,80.419998,80.480003,53.140980,3887700
2005-09-15,80.430000,80.650002,79.669998,80.010002,52.830647,4864100
2005-09-16,80.379997,80.500000,79.830002,80.330002,53.041962,7624900
2005-09-19,79.739998,79.980003,79.010002,79.430000,52.447670,5148500
2005-09-20,79.269997,79.650002,78.629997,78.699997,51.965668,7122300
2005-09-21,78.000000,78.459999,77.370003,77.559998,51.212891,7126000
2005-09-22,77.559998,78.500000,77.300003,78.209999,51.642105,6870400
2005-09-23,77.699997,78.110001,77.500000,78.000000,51.503448,5434600
